Noun,Frequency,English
人,194914.0,people
事,97710.0,thing
时候,52176.0,when
先生,46864.0,gentlemen
话,39887.0,talk
东西,37700.0,thing
孩子,37243.0,child
问题,33364.0,question
时间,30703.0,time
钱,29217.0,money
事情,28176.0,matter
朋友,26017.0,friend
妈妈,25730.0,mother
车,23909.0,car
地方,23358.0,place
爸爸,21930.0,dad
点,21747.0,point
意思,19217.0,mean
电话,18374.0,telephone
妈,18110.0,mom
家,17759.0,home
医生,15679.0,doctor
伙计,15063.0,man
手,14984.0,hand
感觉,14785.0,feel
上帝,14605.0,god
女人,14388.0,woman
名字,14335.0,name
家伙,13846.0,guy
女孩,13197.0,girl
父亲,12399.0,father
宝贝,11950.0,baby
狗,11808.0,dog
枪,11743.0,gun
世界,11721.0,world
男人,11608.0,man
机会,11571.0,chance
小时,11455.0,hour
天,11357.0,sky
警察,11176.0,police
儿子,11100.0,son
情况,10673.0,condition
女士,10544.0,miss
关系,10485.0,relation
公司,10046.0,company
月,9473.0,moon
爸,9154.0,dad
心,8955.0,heart
照片,8687.0,photo
头,8664.0,head
兄弟,8631.0,brother
嘴,8513.0,mouth
计划,8465.0,plan
女儿,8450.0,daughter
小姐,8423.0,miss
消息,8346.0,information
门,8338.0,door
房子,8223.0,house
衣服,8130.0,clothing
办法,8059.0,way
人们,7990.0,people
原因,7829.0,reason
水,7581.0,water
混蛋,7572.0,asshole
学校,7502.0,school
队,7411.0,team
电影,7249.0,movie
房间,7208.0,room
球,7121.0,ball
书,7116.0,book
路,6904.0,road
结果,6902.0,result
长官,6780.0,sir
律师,6747.0,lawyer
故事,6551.0,story
可能,6548.0,possible
妻子,6494.0,wife
床,6493.0,bed
案子,6413.0,case
酒,6338.0,liquor
歌,6285.0,song
节目,6253.0,programme
母亲,6195.0,mother
主意,6144.0,idea
丈夫,6115.0,husband
马,5985.0,horse
生命,5898.0,life
办公室,5882.0,office
游戏,5685.0,game
眼睛,5673.0,eye
国家,5576.0,nation
信,5559.0,letter
总统,5549.0,president
声音,5523.0,sound
医院,5391.0,hospital
样子,5337.0,appearance
证据,5118.0,evidence
夫人,5082.0,lady
父母,5081.0,parents
事实,5029.0,fact
飞机,5020.0,airplane
家庭,5017.0,family
尸体,4994.0,corpse
脸,4961.0,face
玩笑,4933.0,joke
任务,4929.0,task
博士,4881.0,phd
小子,4818.0,boy
错,4817.0,wrong
电视,4816.0,television
药,4788.0,medicine
男孩,4779.0,boy
音乐,4776.0,music
身体,4764.0,body
血,4749.0,blood
方式,4711.0,way
监狱,4671.0,prison
想法,4563.0,idea
老兄,4467.0,dude
大学,4455.0,university
太太,4432.0,mrs
店,4293.0,shop
船,4243.0,boat
派对,4231.0,party
咖啡,4195.0,coffee
方法,4174.0,method
能力,4136.0,ability
目标,4123.0,target
精神,4099.0,spirit
法,4093.0,law
凶手,4064.0,murderer
礼物,3988.0,gift
梦,3964.0,dream
头发,3955.0,hair
兴趣,3922.0,interest
情,3911.0,affection
系统,3910.0,system
命,3886.0,life
老师,3879.0,teacher
花,3861.0,flower
小孩,3859.0,child
人类,3857.0,human
星期,3837.0,week
鬼,3827.0,ghost
屁股,3804.0,butt
生日,3800.0,birthday
报告,3781.0,report
姑娘,3765.0,girl
钥匙,3751.0,key
法官,3749.0,judge
腿,3747.0,leg
选手,3732.0,player
信息,3725.0,information
气,3703.0,gas
哥哥,3700.0,elder brother
神,3681.0,god
脚,3677.0,foot
武器,3654.0,arms
手机,3634.0,cell phone
个人,3597.0,personal
楼,3580.0,building
意义,3580.0,significance
线,3571.0,wire
理由,3570.0,reason
政府,3549.0,government
生意,3546.0,business
病,3545.0,sick
猫,3515.0,cat
事儿,3489.0,thing
白痴,3446.0,idiot
新闻,3441.0,news
地,3414.0,land
病人,3414.0,patient
处,3398.0,at
行为,3396.0,behavior
婚礼,3381.0,wedding
弟弟,3376.0,younger brother
老板,3349.0,boss
城市,3349.0,city
舞,3348.0,dance
词,3331.0,word
老婆,3320.0,wife
中心,3318.0,center
好运,3289.0,good luck
线索,3267.0,clue
妹妹,3262.0,younger sister
位置,3253.0,location
火,3231.0,fire
街,3219.0,street
电脑,3210.0,computer
区,3198.0,district
错误,3153.0,mistake
力量,3150.0,strength
号码,3136.0,number
日子,3136.0,day
战争,3095.0,war
秘密,3076.0,secret
真相,3046.0,the truth
法律,3044.0,law
方面,3015.0,aspect
银行,3003.0,bank
卡,2999.0,card
警官,2978.0,police officer
酒吧,2968.0,bar
身份,2954.0,identity
岛,2950.0,island
模特,2949.0,model
学生,2942.0,student
鸡,2931.0,chicken
动作,2899.0,action
家人,2875.0,family
演员,2871.0,actor
手术,2856.0,operation
人生,2852.0,life
婊子,2829.0,bitch
舞蹈,2814.0,dance
答案,2801.0,answer
大人,2784.0,grown ups
部分,2782.0,part
人员,2781.0,personnel
英雄,2779.0,hero
事件,2774.0,event
罪,2760.0,crime
决定,2738.0,decide
意见,2726.0,opinion
公寓,2706.0,apartment
文件,2698.0,document
意识,2698.0,consciousness
光,2694.0,light
面,2686.0,noodle
命令,2683.0,order
雷,2668.0,thunder
姐姐,2655.0,elder sister
女朋友,2641.0,girlfriend
动物,2636.0,animal
蛋,2584.0,egg
字,2572.0,character
建议,2571.0,suggestion
责任,2569.0,responsibility
食物,2561.0,food
杀手,2559.0,killer
证人,2545.0,witness
压力,2541.0,pressure
味道,2534.0,smell
鱼,2532.0,fish
室,2526.0,room
私人,2515.0,private
观众,2503.0,audience
子弹,2488.0,bullet
垃圾,2485.0,rubbish
叔叔,2485.0,uncle
男朋友,2478.0,boy friend
钟,2477.0,bell
毒品,2473.0,poison
局,2465.0,bureau
组织,2463.0,organize
肉,2456.0,meat
感情,2446.0,emotion
一生,2437.0,lifetime
明星,2434.0,star
城,2428.0,city
灵魂,2425.0,soul
房,2414.0,house
晚餐,2408.0,dinner
角色,2403.0,role
脑子,2401.0,brain
梦想,2395.0,dream
杂志,2395.0,magazine
汽车,2373.0,car
票,2373.0,ticket
广告,2357.0,advertise
哥们,2356.0,dude
笨蛋,2345.0,fool
玩意,2334.0,stuff
鞋,2332.0,shoe
屁,2332.0,fart
历史,2325.0,history
法庭,2322.0,court
俱乐部,2317.0,club
啤酒,2310.0,beer
地球,2293.0,earth
受害者,2288.0,victim
组,2277.0,group
刀,2270.0,knife
炸弹,2268.0,bomb
联邦,2261.0,federal
记录,2257.0,record
评委,2253.0,judges
信号,2250.0,signal
眼,2236.0,eye
代表,2233.0,represent
星,2227.0,star
课,2226.0,class
山,2213.0,mountain
名单,2212.0,list
公园,2206.0,garden
部落,2197.0,tribe
资料,2191.0,material
婚姻,2187.0,marriage
力,2177.0,force
教堂,2176.0,church
鸟,2172.0,bird
皮,2171.0,skin
客户,2168.0,client
脑袋,2165.0,head
方向,2156.0,direction
心理,2152.0,psychology
疯子,2143.0,madman
将军,2138.0,general
技术,2136.0,technology
乐队,2126.0,band
高中,2125.0,high school
州,2116.0,state
记忆,2106.0,memory
牌,2091.0,card
成员,2088.0,member
女性,2080.0,female
权利,2079.0,right
黑人,2073.0,black person
警方,2071.0,police
交易,2070.0,trade
老天,2063.0,god
酒店,2061.0,hotel
时刻,2055.0,time
画,2052.0,painting
冠军,2047.0,champion
教练,2043.0,coach
对方,2036.0,other side
敌人,2031.0,enemy
人物,2014.0,figure
头儿,2013.0,boss
猪,2011.0,pig
根本,1989.0,fundamental
蛋糕,1987.0,cake
树,1985.0,tree
死者,1984.0,deceased
傻瓜,1981.0,fool
职业,1965.0,profession
菜,1963.0,vegetable
地址,1959.0,address
口,1953.0,mouth
地狱,1951.0,hell
好事,1947.0,good thing
客人,1939.0,guest
状态,1938.0,state
戏,1923.0,play
会议,1918.0,meeting
队伍,1914.0,team
舞台,1911.0,stage
奶奶,1910.0,grandmother
爱情,1906.0,love
搭档,1903.0,partner
教授,1897.0,professor
现实,1897.0,reality
要求,1890.0,require
指纹,1879.0,fingerprint
娘,1874.0,mother
同志,1873.0,comrade
偶像,1873.0,idol
裤子,1871.0,pants
军队,1870.0,army
侦探,1868.0,detective
需要,1856.0,need
实验室,1853.0,laboratory
活,1850.0,live
通知,1848.0,notify
状况,1838.0,situation
目的,1835.0,purpose
恶魔,1834.0,demon
心脏,1830.0,heart
舞会,1826.0,prom
家族,1822.0,family
风,1818.0,wind
饭,1813.0,meal
脑,1812.0,brain
号,1806.0,number
社会,1805.0,society
邻居,1803.0,neighbor
生气,1800.0,angry
国王,1798.0,king
好人,1798.0,good guy
哥,1798.0,elder brother
关键,1791.0,key
屎,1787.0,shit
希望,1784.0,hope
陪审团,1784.0,jury
项目,1783.0,project
实话,1780.0,truth
表情,1778.0,expression
好处,1776.0,benefit
海,1770.0,ocean
吸血鬼,1770.0,vampire
班,1765.0,class
官,1764.0,official
印象,1758.0,impression
牛,1755.0,ox
利,1751.0,profit
地点,1746.0,place
经理,1745.0,manager
作用,1736.0,effect
小伙子,1734.0,young man
天使,1733.0,angel
队长,1731.0,team leader
专家,1727.0,expert
旅馆,1722.0,hostel
保险,1717.0,insurance
经历,1714.0,experience
风格,1713.0,style
报纸,1710.0,newspaper
机器,1709.0,machine
颜色,1703.0,color
时光,1700.0,time
记者,1699.0,reporter
价值,1697.0,value
巧克力,1693.0,chocolate
女生,1689.0,girl
墙,1687.0,wall
厕所,1682.0,bathroom
权,1676.0,right
约会,1675.0,dating
过程,1673.0,process
人民,1661.0,people
命运,1656.0,destiny
小组,1655.0,group
分子,1649.0,molecular
点儿,1645.0,a little bit
白人,1643.0,white people
灯,1643.0,lamp
桌子,1641.0,table
机场,1634.0,airport
事业,1634.0,cause
爷爷,1625.0,grandfather
厨房,1623.0,kitchen
专业,1615.0,major
晚饭,1613.0,dinner
年代,1611.0,era
士兵,1611.0,soldier
心情,1605.0,feeling
屋子,1602.0,room
特工,1586.0,agent
镇,1586.0,town
冰,1582.0,ice
戒指,1582.0,ring
案件,1578.0,case
奖,1577.0,award
条件,1576.0,condition
作品,1575.0,work
档案,1568.0,file
饼,1561.0,cake
德,1559.0,virtue
规则,1558.0,rule
队员,1554.0,team member
帽子,1553.0,hat
电,1551.0,electricity
协议,1551.0,protocol
尿,1550.0,urine
司机,1550.0,driver
米,1545.0,rice
时代,1544.0,era
神父,1539.0,priest
规矩,1534.0,rule
火车,1533.0,train
糖,1530.0,sugar
卡车,1530.0,truck
部门,1526.0,department
出租车,1522.0,taxi
代价,1520.0,cost
地区,1519.0,area
天堂,1518.0,heaven
年轻人,1516.0,young people
主人,1515.0,owner
洞,1510.0,hole
大街,1506.0,main street
箱子,1505.0,box
密码,1491.0,password
红色,1491.0,red
骗子,1489.0,fraud
货,1486.0,goods
空间,1485.0,space
认识,1485.0,know
油,1478.0,oil
盒子,1463.0,box
经验,1462.0,experience
大脑,1461.0,brain
看法,1461.0,view
罪犯,1459.0,criminal
星球,1454.0,planet
程序,1449.0,program
情报,1449.0,intelligence
无辜,1449.0,innocent
情绪,1446.0,mood
怪物,1446.0,monster
内心,1444.0,heart
暴力,1440.0,violence
录像,1439.0,video
事故,1437.0,accident
艺术,1436.0,art
速度,1433.0,speed
神经,1433.0,nerve
道,1426.0,road
数字,1425.0,number
范围,1423.0,scope
太阳,1419.0,sun
午饭,1418.0,lunch
午餐,1416.0,lunch
歌曲,1411.0,song
婴儿,1409.0,baby
笑话,1407.0,joke
石头,1405.0,stone
屋,1401.0,room
细节,1400.0,detail
道理,1397.0,reason
船长,1396.0,captain
上校,1395.0,colonel
歌手,1395.0,singer
运气,1394.0,luck
餐厅,1392.0,dining room
同事,1392.0,colleague
烟,1392.0,cigarette
美女,1389.0,beauty
丝,1379.0,silk
团队,1377.0,team
鼻子,1374.0,nose
窗户,1367.0,window
奇迹,1366.0,miracle
护士,1365.0,nurse
空气,1365.0,air
表,1364.0,surface
台,1358.0,tower
媒体,1357.0,media
毒,1356.0,poison
纸,1351.0,paper
节,1351.0,festival
姐妹,1340.0,sisters
市,1338.0,city
政治,1337.0,politics
魔鬼,1335.0,devil
内容,1332.0,content
宝宝,1330.0,baby
蓝色,1323.0,blue
对手,1321.0,opponent
鬼魂,1321.0,ghost
牧师,1318.0,priest
年级,1317.0,grade
杂种,1316.0,hybrid
环境,1316.0,environment
雨,1311.0,rain
变态,1310.0,abnormal
警长,1309.0,sheriff
受害人,1305.0,victim
废话,1300.0,nonsense
效果,1299.0,effect
伤口,1299.0,wound
魔法,1291.0,magic
现金,1288.0,cash
儿童,1286.0,child
间谍,1279.0,spy
检察官,1279.0,prosecutor
脖子,1279.0,neck
玩具,1276.0,toy
女孩子,1274.0,girl
机器人,1272.0,robot
科,1269.0,division
省,1267.0,province
天气,1260.0,weather
态度,1256.0,manner
支票,1249.0,cheque
早餐,1247.0,breakfast
理论,1240.0,theory
生物,1240.0,biology
年纪,1237.0,age
角度,1237.0,angle
老鼠,1234.0,mouse
距离,1231.0,distance
男友,1230.0,boyfriend
大楼,1226.0,building
妓女,1224.0,prostitute
商店,1224.0,shop
能量,1222.0,energy
牙,1221.0,tooth
公主,1219.0,princess
包,1216.0,bag
单身,1214.0,single
传统,1212.0,tradition
女王,1210.0,queen
地图,1206.0,map
药物,1202.0,drug
狼,1202.0,wolf
面包,1201.0,bread
伙伴,1200.0,partner
女友,1200.0,girlfriend
世纪,1199.0,century
大麻,1198.0,marijuana
邮件,1195.0,mail
茶,1186.0,tea
椅子,1184.0,chair
鞋子,1183.0,shoe
陛下,1183.0,his majesty
血液,1182.0,blood
上尉,1175.0,captain
规定,1174.0,regulation
谎言,1172.0,lie
报,1171.0,newspaper
耳朵,1171.0,ear
葬礼,1170.0,funeral
机构,1167.0,mechanism
委员会,1167.0,committee
和平,1167.0,peace
程度,1163.0,degree
王,1163.0,king
裙子,1163.0,skirt
钻石,1162.0,diamond
全国,1157.0,nationwide
议员,1157.0,mp
餐馆,1156.0,restaurant
皮肤,1153.0,skin
部队,1152.0,force
全世界,1149.0,worldwide
权力,1148.0,that power
棒球,1147.0,baseball
装置,1146.0,device
熊,1146.0,bear
图,1140.0,picture
痕迹,1139.0,trace
河,1135.0,river
习惯,1133.0,habit
玻璃,1133.0,glass
数据,1133.0,data
区域,1133.0,area
镜头,1132.0,lens
勇气,1132.0,courage
员工,1129.0,staff
联盟,1127.0,alliance
本,1125.0,book
基地,1123.0,base
土地,1121.0,land
保姆,1119.0,nanny
注意力,1117.0,attention
时尚,1111.0,fashion
病毒,1110.0,virus
文章,1110.0,article
海滩,1109.0,beach
借口,1107.0,excuse
阳光,1107.0,sunlight
设备,1107.0,equipment
站,1106.0,stand
天赋,1105.0,talent
神像,1102.0,idol
医疗,1101.0,medical
激情,1099.0,passion
语言,1099.0,language
车子,1098.0,car
阁下,1095.0,your mightiness
提要,1088.0,feed
对象,1087.0,object
根,1085.0,root
重点,1084.0,focus
魅力,1084.0,charm
标准,1084.0,standard
助手,1084.0,assistant
话题,1080.0,topic
市场,1078.0,market
桥,1074.0,bridge
犹太人,1070.0,jewish
摇滚,1070.0,rock
王子,1070.0,prince
饼干,1064.0,biscuit
证,1062.0,certificate
科学,1058.0,science
说法,1058.0,statement
国际,1057.0,internationality
仪式,1057.0,ceremony
谋杀案,1053.0,murder
信心,1053.0,confidence
爵士,1050.0,jazz
癌症,1050.0,cancer
老公,1047.0,husband
剑,1047.0,sword
骨头,1045.0,bone
工具,1045.0,tool
男生,1042.0,boys
市长,1042.0,mayor
犯人,1040.0,prisoner
海军,1039.0,navy
名人,1039.0,celebrity
天才,1037.0,genius
结局,1036.0,ending
合同,1034.0,contract
小家伙,1034.0,little guy
人人,1031.0,everyone
伤,1031.0,hurt
肚子,1030.0,abdomen
车祸,1030.0,car accident
信用卡,1029.0,credit card
笔,1026.0,pen
电梯,1025.0,elevator
礼拜,1023.0,worship
蛇,1023.0,snake
三明治,1023.0,sandwich
动机,1023.0,motivation
黑色,1021.0,black
同学,1018.0,classmate
警报,1016.0,alarm
龙,1016.0,dragon
人质,1014.0,hostage
姿势,1010.0,posture
区别,1009.0,the difference
宇宙,1009.0,universe
自然,1007.0,nature
卧室,1006.0,bedroom
剧本,1005.0,script
手指,1004.0,finger
资格,999.0,qualifications
作家,998.0,writer
教训,998.0,lesson
被告,997.0,defendant
钱包,997.0,wallet
留言,997.0,message
贱人,996.0,bitch
汤,994.0,soup
粉丝,994.0,fan
工厂,992.0,factory
幻想,989.0,fantasy
手段,988.0,means
顾客,987.0,customer
农场,986.0,farm
网络,985.0,network
时机,982.0,opportunity
毛病,982.0,wrong
口袋,981.0,pocket
工,980.0,work
嫌犯,978.0,suspect
行李,977.0,luggage
观点,975.0,point of view
地板,974.0,floor
小丑,972.0,clown
年龄,971.0,age
小说,971.0,novel
雪,968.0,snow
建筑,966.0,architecture
社区,963.0,community
助理,962.0,assistant
布,960.0,cloth
交通,959.0,transportation
思想,956.0,thought
骑士,955.0,knight
唱片,955.0,record
洗手间,955.0,toilet
圣诞老人,953.0,santa claus
公路,942.0,highway
饮料,942.0,drinks
主题,941.0,theme
海盗,941.0,pirate
幸存者,940.0,survivor
塔,940.0,tower
牙齿,937.0,teeth
版,936.0,version
主任,935.0,director
头脑,935.0,mind
直升机,934.0,helicopter
校长,932.0,headmaster
波,931.0,wave
性感,930.0,sexy
一团糟,930.0,a mess
剧,929.0,drama
坏人,925.0,bad guy
物品,925.0,thing
眼神,920.0,eyes
格,919.0,grid
虫,919.0,insect
财产,918.0,property
水平,913.0,level
发型,911.0,hairstyle
服装,910.0,clothing
风险,908.0,risk
沙发,908.0,sofa
后果,906.0,as a result of
个性,906.0,personality
男性,904.0,male
国,904.0,country
中尉,902.0,lieutenant
卫星,901.0,satellite
电子,892.0,electronic
经济,891.0,economy
娃娃,891.0,baby
猴子,891.0,monkey
学院,889.0,college
座位,889.0,seat
夫妇,889.0,couple
牛奶,888.0,milk
损失,887.0,loss
同时,887.0,at the same time
声,887.0,voice
新娘,885.0,bride
类型,884.0,type
金属,882.0,metal
绿色,882.0,green
铁,882.0,iron
航班,881.0,flight
库,880.0,library
白色,880.0,white
小镇,879.0,small town
精力,879.0,energy
产品,879.0,product
兵,879.0,soldiers
老朋友,878.0,old friend
坏事,875.0,bad thing
法院,874.0,court
宗教,871.0,religion
蠢货,871.0,idiot
内裤,867.0,underwear
外套,865.0,coat
大事,865.0,event
经纪人,859.0,broker
停车场,858.0,parking lot
奶酪,854.0,cheese
陌生人,853.0,stranger
讲话,851.0,speech
军,850.0,military
地下室,850.0,basement
数,849.0,number
衬衫,848.0,shirt
金发,847.0,blond
胳膊,846.0,arm
礼,845.0,present
哥们儿,845.0,dude
疾病,843.0,disease
战士,842.0,warrior
公众,842.0,public
心脏病,842.0,heart disease
职责,842.0,responsibilities
诗,839.0,poetry
证词,837.0,testimony
